#key	name	year	genre	developer	players
RealSports Football (USA)	Realsports Football	1982	Sports / Football (American)/Sports	Atari	1-2
RealSports Soccer (USA)	Realsports Soccer	1983	Sports / Football (Soccer)/Sports	Atari	1-2
RealSports Tennis (USA)	Realsports Tennis	1986	Sports / Tennis/Sports	Atari	1-2
Rescue on Fractalus! (USA)	Rescue on Fractalus!	1986	Shooter / Vehicle, FPV/Shooter	Lucasfilm Games	1
Road Runner (USA) (Proto) (1983-06-03)	Road Runner	1982	Action / Labyrinth/Action	Atari	1
Robotron 2084 (USA)	Robotron : 2084	1984		Vid Kidz	1-2
Space Dungeon (USA)	Space Dungeon	1983		Taito	1-2
Space Invaders (USA)	Space Invaders	1982	Shooter / Space Invaders Like/Shooter/Shoot'em Up	Taito	1-2
Space Race (USA) (Demo)	Space Race				
Space Shuttle - A Journey Into Space (USA)	Space Shuttle : A Journey Into Space	1984	Simulation / Vehicle/Simulation	Activision	1
Spitfire (USA) (Proto) (1983-11-03)	Spitfire	1984	Shoot'em Up	Atari	1-2
Sport Goofy (USA) (Proto) (1983-04-11)	Sport Goofy	1983	Platform	Atari	1-2
Star Raiders (USA)	Star Raiders	1982	Strategy	Atari	1
Star Trek - Strategic Operations Simulator (USA)	Star Trek : Strategic Operations Simulator	1983	Shooter / Vehicle, FPV/Shooter	SEGA	1
Star Wars - Return of the Jedi - Death Star Battle (USA)	Star Wars - Return Of The Jedi - Death Star Battle	1983	Shooter	Parker Brothers	1-2
Star Wars - The Arcade Game (USA)	Star Wars : The Arcade Game	1984	Shooter / Plane, FPV/Shooter	Parker Brothers	1
Stargate (USA) (Proto 3) (1984-01-05)	Stargate	1984	Shoot'em Up / Horizontal/Shoot'em Up	Atari	1-2
Super Breakout (USA)	Super Breakout	1982	Action / Breakout games/Action	Atari	1-4
Super Cobra (USA)	Super Cobra	1983	Shoot'em Up / Horizontal/Shoot'em Up	Konami	1-2
Super Pac-Man (USA) (Proto) (Final)	Super Pac-Man	1982	Action / Labyrinth/Action		1-2
Tempest (USA) (AtariAge)	Tempest	1983	Shoot'em Up	Atari	1-2
Touch Pad Game (USA) (Proto) (1984-02-02)	Touch Pad Game				
Track and Field (USA) (Proto) (1984-05-10)	Track and Field	1984	Sports / Multisports/Sports	Atari	1-2
Vanguard (USA)	Vanguard	1983	Shoot'em Up / Horizontal/Shoot'em Up	General Computer Corporation	1-2
Wizard of Wor (USA)	Wizard of Wor	1983	Action / Labyrinth/Action	Dave Nutting Associates	1-2
Xari Arena (USA) (Proto) (1983-09-20)	Xari Arena	1983		Atari	2
Xevious (USA) (Proto) (1984-01-04)	Xevious	1984	Shoot'em Up / Vertical/Shoot'em Up	Atari	2
Yellow Submarine (USA) (Demo)	ZZZ(notgame):Yellow Submarine	1982		Atari	1
Zaxxon (USA)	Zaxxon	1984	Shoot'em Up / Diagonal/Shoot'em Up	SEGA	1-2
Zenji (USA)	Zenji	1984	Strategy	Activision	1-2
Zone Ranger (USA)	Zone Ranger	1984	Shoot'em Up	Activision	1-2
