#key	name	year	genre	developer	players
Ace of Aces (USA)	Ace of Aces	1988	Shooter / Plane, FPV/Shooter	Artech Studios	1
Alien Brigade (USA)	Alien Brigade	1990	Shooter	Atari	1
Asteroids (USA)	Asteroids	1987	Shoot'em Up	Atari	1-2
Ballblazer (USA)	Ballblazer	1987	Sports	Lucasfilm Games	1-2
Barnyard Blaster (USA)	Barnyard Blaster	1988	Shooter	Atari	1-2
Basketbrawl (USA)	Basketbrawl	1990	Sports / Basketball/Sports	Atari	1-2
Centipede (USA)	Centipede	2015	Shooter / Space Invaders Like/Shooter	Atari	1
Choplifter! (USA)	Choplifter!	1987	Shoot'em Up / Horizontal/Shoot'em Up	Brøderbund Software	1
Commando (USA)	Commando	1989	Shooter / Run and Gun/Shooter	Sculptured Software	1-2
Crack'ed (USA)	Crack'ed	1989	Shooter / FPV/Shooter	Atari	1
Crossbow (USA)	Crossbow	1989	Shooter / FPV/Shooter	Imagineering	1
Dark Chambers (USA)	Dark Chambers	1989	Action / Labyrinth/Action	Sculptured Software	1-2
Desert Falcon (USA)	Desert Falcon	1987	Shoot'em Up / Diagonal/Shoot'em Up	Atari	1
Dig Dug (USA)	Dig Dug	1986	Action / Labyrinth/Action	Namco	1-2
Donkey Kong (USA)	Donkey Kong	1988	Platform	International Technology Development	1-2
Donkey Kong Junior (USA)	Donkey Kong Junior	1988	Platform	Nintendo	1-2
Double Dragon (USA)	Double Dragon	1989	Beat'em Up	Imagineering	1-2
F-18 Hornet (USA)	F-18 Hornet	1988	Shooter / Plane/Shooter	Absolute Entertainment	1
Fatal Run (USA)	Fatal Run	1990	Racing, Driving	Sculptured Software	1
Fight Night (USA)	Fight Night	1989	Sports / Boxing/Sports	Sydney Development	1-2
Food Fight (USA)	Food Fight	1986	Shooter / Run and Gun/Shooter	Atari	1-2
Galaga (USA)	Galaga	1986	Shooter / Space Invaders Like/Shooter	Namco	1-2
GATO (USA) (Proto)	GATO	1988	Simulation	Atari	1
Hat Trick (USA)	Hat Trick	1988	Sports / Hockey/Sports	Bally Sente	1-2
Ikari Warriors (USA)	Ikari Warriors	1990	Shooter / Run and Gun/Shooter	SNK	1-2
Impossible Mission (USA)	Impossible Mission	1988	Platform	Man Development	1
Jinks (USA)	Jinks	1989	Action / Breakout games/Action	U.S. Gold	1
Joust (USA)	Joust	1986	Platform / Run & Jump/Platform	Williams	1-2
Karateka (USA)	Karateka	1987	Beat'em Up/Platform / Fighter Scrolling/Platform	Brøderbund Software	1
Klax (USA) (Proto)	Klax	1992	Puzzle/Strategy	Blue Sky Software	1
Kung-Fu Master (USA)	Kung-Fu Master	1989	Beat'em Up	Imagineering	1-2
Mario Bros. (USA)	Mario Bros.	1988	Platform	Nintendo	1-2
Mat Mania Challenge (USA)	Mat Mania Challenge	1990	Sports / Wrestling/Sports	American Technos	1-2
Mean 18 Ultimate Golf (USA)	Mean 18 : Ultimate Golf	1989	Sports / Golf/Sports	Accolade	1-2
Meltdown (USA)	Meltdown	1990	Shooter / Run and Gun/Shooter	Atari	1
Midnight Mutants (USA)	Midnight Mutants	1990	Adventure	Radioactive Software	1
Missing in Action (USA) (Proto)	Missing In Action	1989	Shooter	Sculptured Software	1
Motor Psycho (USA)	MotorPsycho	1990	Motorcycle race TPV/Racing, Driving	BlueSky Software	1
Ms. Pac-Man (USA)	Ms. Pac-Man	1986	Action / Labyrinth/Action	General Computer Corporation	1-2
Ninja Golf (USA)	Ninja Golf	1990	Beat'em Up/Sports / Golf/Sports	BlueSky Software	1
One-on-One Basketball (USA)	One-On-One Basketball	1987	Sports / Basketball/Sports	Computer Magic	1-2
Pete Rose Baseball (USA)	Pete Rose Baseball	1989	Sports / Baseball/Sports	Robert Curtiss	2
Pit Fighter (USA) (Proto)	Pit Fighter	1992	Fighting	Atari	1-2
Planet Smashers (USA)	Planet Smashers	1990	Shoot'em Up / Vertical/Shoot'em Up	Atari	1-2
Plutos (USA) (Proto)	Plutos	1990	Shoot'em Up / Vertical/Shoot'em Up	Tynesoft Computer Software	1-2
Pole Position II (USA)	Pole Position II	1987	Racing, Driving	General Computer	1
Rampage (USA)	Rampage	1989	Fighting / 2D/Fighting	Spectral Dimensions	1-2
Rampart (USA) (Proto)	Rampart	1991	Strategy	Imagitec Design	1-2
RealSports Baseball (USA)	RealSports Baseball	1988	Sports / Baseball/Sports	Atari	1-2
Rescue on Fractalus (USA) (Proto)	Rescue On Fractalus!	1984	Shooter	Lars Jensen	1
Robotron - 2084 (USA)	Robotron : 2084	1986	Shooter / Run and Gun/Shooter	Williams	1-2
Scrapyard Dog (USA)	Scrapyard Dog	1990	Platform	BlueSky Software	1
Sentinel (Europe)	Sentinel	1990	Shoot'em Up	Atari	1-2
Sirius (USA) (Proto)	Sirius	1990	Shooter	Tynesoft Computer Software	1
Summer Games (USA)	Summer Games	1988	Sports / Multisports/Sports	Epyx	1-8
Super Huey UH-IX (USA)	Super Huey UH-IX	1989	Shooter	Cosmi	1
Super Skateboardin' (USA)	Super Skateboardin'	1988	Sports / Skateboard/Sports	Absolute Entertainment	1
Tank Command (USA)	Tank Command	1988	Shooter / Vehicle, TPV/Shooter	Froggo Games	1
Title Match Pro Wrestling (USA)	Title Match Pro Wrestling	1989	Sports / Wrestling/Sports	Absolute Entertainment	1-2
Tomcat - The F-14 Fighter Simulator (USA)	Tomcat : The F-14 Fighter Simulator	1989	Shooter / Plane/Shooter	Imagineer	1
Touchdown Football (USA)	Touchdown Football	1989	Sports / Football (American)/Sports	Imagic	1-2
Tower Toppler (USA)	Tower Toppler	1989	Platform	Hewson	1-2
Water Ski (USA)	Water Ski	1988	Sports / Water/Sports	Froggo Games	1
Winter Games (USA)	Winter Games	1988	Sports / Multisports/Sports	Epyx	1-8
Xenophobe (USA)	Xenophobe	1989	Platform / Shooter Scrolling/Platform	BlueSky Software	1-2
Xevious (USA)	Xevious	1986	Shoot'em Up / Vertical/Shoot'em Up	General Computer Corporation	1-2
