#key	name	year	genre	developer	players
Rolling Thunder (USA) (Proto)	Rolling Thunder	1992		Atari	1
Rygar (World)	Rygar	1990	Platform / Fighter Scrolling/Platform	NuFX	1
S.T.U.N. Runner (USA, Europe)	S.T.U.N. Runner	1991	Racing, Driving	Atari	1
Scrapyard Dog (USA, Europe)	Scrapyard Dog	1991	Adventure	CSD	1
Shadow of the Beast (USA, Europe)	Shadow Of The Beast	1992	Beat'em Up	Digital Developments	1
Shanghai (World)	Shanghai	1990	Mahjong/Asiatic board game	Atari	1
Steel Talons (USA, Europe)	Steel Talons	1992	Shoot'em Up	NuFX	1
Super Asteroids, Missile Command (USA, Europe)	Super Asteroids & Missile Command	1992	Compilation	Atari	1
Super Off-Road (USA, Europe)	Super Off Road	1993	Racing TPV/Racing, Driving	Telegames	1-4
Super Skweek (USA, Europe)	Super Skweek	1991	Puzzle	Loriciel	1-2
Switchblade II (USA, Europe)	SwitchBlade II	1992	Platform	Gremlin Graphics Software	1
Todd's Adventures in Slime World (World)	Todd's Adventures In Slime World	1992	Platform	Epyx	1-8
Toki (USA, Europe)	Toki	1992	Platform	Atari	1
Tournament Cyberball (USA, Europe)	Tournament Cyberball 2072	1991	Sports / Football (American)/Sports	BlueSky Software	1-4
Turbo Sub (USA, Europe)	Turbo Sub	1991	Shoot'em Up	NuFX	1-2
Viking Child (USA, Europe)	Viking Child	1991	Platform / Fighter Scrolling/Platform	Imagitec Design	1
Vindicators (USA) (Proto 2)	Vindicators	1992	Shooter / Vehicle, TPV/Shooter	Atari	1
Warbirds (USA, Europe)	Warbirds	1991	Simulation	Atari	1-4
World Class Soccer (USA, Europe)	World Class Fussball/Soccer	1992	Sports / Football (Soccer)/Sports	Atari	1-2
Xenophobe (World)	Xenophobe	1990	Platform / Shooter Scrolling/Platform	Epyx	1-4
Xybots (USA, Europe)	Xybots	1991	Shooter / TPV/Shooter	NuFX	1-2
Zarlor Mercenary (World)	Zarlor Mercenary	1990	Shoot'em Up / Vertical/Shoot'em Up	Epyx	1-4
