#key	synopsis
A.P.B. (USA, Europe)	APB est un jeu de courses sur Lynx dans lequel vous incarnez l'officier de police Bob, et vous devez rechercher et arrêter tous les voyous qui sèment la terreur dans la ville. Ainsi, vous patrouillez dans les rues à bord de votre voiture de fonction tout en essayant d'éviter les passants et les autres véhicules.
Alien vs Predator (Europe) (Proto) (1993-12-17)	Alien vs Predator est un jeu vidéo inédit qui devait être publié par Atari pour l' Atari Lynx en 1994 mais a été annulé avant la fin Choisissez votre personnage dans ce jeu de Tir a la premiere personne! Commandez la Marine Coloniale et utilisez vos armes et votre intelligence pour survivre. Soyez un extraterrestre et utilisez vos instincts voraces pour défendre la ruche et sauver votre reine. Ou jouer un Predator et utiliser votre arsenal macabre pour acquérir le trophée ultime ... le crâne de la Reine Alien.
Awesome Golf (USA, Europe)	Awesome Golf est un jeu de sport sur Lynx. Vous l'avez compris, votre objectif sera de rentrer la balle de golf dans le trou en moins de coups possible. Le jeu vous procure les sensations de la compétition au fil des niveaux et propose un mode multi de 1 à 4 joueurs.
Baseball Heroes (USA, Europe)	Baseball Heroes est un jeu de base-ball sur Lynx. Vous devez sélectionner une équipe parmi les 16 qui sont proposées. Le soft ne reprend pas les équipes multimillionnaires actuelles mais plutôt les meilleures équipes qui ont fait l'histoire du sport.
Basketbrawl (USA, Europe)	Basketbrawl est un jeu de sport très musclé sur Lynx. Il s'agit d'une simulation de basket combiné à un beat'em all. Le but du jeu est de marquer le plus de points à votre adversaire, soit en marquant des points au basket soit en les frappant.
Batman Returns (USA, Europe)	Dans Batman Returns sur Lynx, vous défendez Gotham City et tentez de faire échouer les plans du Pingouin et ses hommes. Vous évoluez sur terre ainsi que dans les airs grâce aux gadgets que vous assignez à la ceinture de Batman.
Battle Wheels (USA, Europe)	Battle Wheels est un jeu de course/action sur Lynx. En 2019, le genre humain invente de plus en plus de jeux dangereux pour son divertissement. Ainsi, vous devez participer à des courses de folie avec des voitures high-tech armées de missiles, de mitrailleuses, de lance-flames et bien d'autres armes surpuissantes.
Battlezone 2000 (USA, Europe)	BattleZone 2000 est un jeu d'action sur Lynx. En 2005, un virus destructeur a infecté le Super-Tank, un ordinateur ultra-sophistiqué. Ce virus fait se retourner toutes les armes de destruction du Super-Tank contre leurs créateurs. L'humanité est sur le chemin de l'extinction et vous devez libérer la zone de combat de ce fléau robotique.
Bill & Ted's Excellent Adventure (USA, Europe)	Bill & Ted's Excellent Adventure est un jeu d'aventure sur Lynx. Joanna et Elisabeth, deux jolies jeunes filles de l'Angleterre du Moyen Age, ont été kidnappées par le méchant Grim Reaper. Avec Bill et Ted vous embarquez dans des aventures spatio-temporelles pour tenter de sauver les jeunes demoiselles.
Block Out (USA, Europe)	Block Out est un puzzle-game sur Lynx s'inspirant du concept de Tetris mais transposé en 3D. Avec une vue du dessus, vous devez tourner les blocs dans tous les sens pour qu'ils s'emboîtent sans laisser d'espaces vides. Pour rehausser la difficulté, tout est paramétrable (taille du puits, vitesse, rangées etc...) dans les options.
Blue Lightning (World)	Blue Lightning est un jeu d'action sur Lynx. Le diabolique général Drako répand le chaos dans le monde entier. Vous êtes un super combattant de l'air et devez voler de continent en continent pour détruire les forces du mal.
Bubble Trouble (USA, Europe)	Bubble Trouble est un jeu d'action sur Lynx. Le soft est centré sur un chercheur scientifique nommé Travis qui travaille dans un institut de recherche. Malheureusement une expérience tourne mal et notre ami Travis est piégé dans un monde parallèle. Vous devez parcourir les 5 sections qui composent ce monde pour trouver une porte de sortie.
California Games (World)	Le jeu s'inscrit dans la lignée des Summer Games et Winter Games et vous propose de participer à différentes épreuves sportives cool et fun représentatives des occupations californiennes. Ce sont donc des runs de BMX, de Surf, de Skateboard (half-pipe), ainsi que des épreuves de Footbag qui vous seront imposées et pour lesquelles vous aurez pour mission de scorer un maximum dans un temps imparti. Les options du jeu vous laissent le choix sur le déroulement des épreuves : concourir dans tous les événements, à quelques événements, ou à un seul événement mais aussi de pratique pour le plaisir sur un événement au choix (practice). La difficulté n'est pas insurmontable mais certaines épreuves sont tout de même assez corsées.
Centipede (USA) (Proto)	Des centaines et des milliers d'entre eux. Des flippantes. Des léthargiques. Des bourdonnantes. Des essaims. Et ils essaient tous de t'avoir. Sauf si tu les as avant !
Checkered Flag (USA, Europe)	Checkered Flag est un jeu de courses sur Lynx dans lequel vous prenez les commandes d'une Formule 1. Vous devez battre vos adversaires sur 18 circuits différents. Grâce au Comlynx, vous pouvez jouer à 6 et profiter du mode multijoueur.
